 latitude longitude depth year month day hour minute second magnitude
 31.512706  103.951531    39.768   2008  5 14  9 24  0.420 2.8 
 31.407981  103.947231    19.783   2008  5 14  9 26 46.710 5.5 
 31.173215  103.710742    13.212   2008  5 14  9 51 21.130 3.9 
 31.833253  104.150492    17.948   2008  5 14  9 58 10.540 3.3 
 32.156703  104.655554    14.625   2008  5 14 10 11 17.260 4.3 
 32.088770  104.578656    16.232   2008  5 14 10 15 23.220 3.1 
 30.867845  103.155030    17.255   2008  5 14 10 18 16.540 3.9 
 31.920265  104.321196     4.853   2008  5 14 10 21 29.870 3.3 
 31.926672  104.357840    10.585   2008  5 14 10 21 30.060 3.3 
 31.182881  103.508292    13.762   2008  5 14 10 27 15.130 3.7 
 31.977996  104.576572    14.018   2008  5 14 10 34 14.670 3.1 
 32.138388  104.602776    16.587   2008  5 14 10 35 29.620 3.0 
 32.131053  104.763785    15.380   2008  5 14 10 44 38.730 5.3 
 32.149858  104.729666    12.442   2008  5 14 10 44 39.000 4.4 
 31.318519  103.321601    10.621   2008  5 14 10 46 23.970 3.2 
 31.833823  104.365106     8.127   2008  5 14 10 49 56.340 3.5 
 31.431177  103.931945    18.477   2008  5 14 10 52 11.960 3.2 
 31.808818  104.275015     7.947   2008  5 14 11  0  3.440 2.8 
 31.525395  103.914585    44.413   2008  5 14 11  9 46.980 4.0 
 31.555871  103.905538    65.494   2008  5 14 11  9 46.920 3.6 
 30.984145  103.281945    12.328   2008  5 14 11 14  8.890 3.5 
 31.222561  103.588673    14.950   2008  5 14 11 21 29.970 3.6 
 30.996520  103.391747    14.413   2008  5 14 11 22 41.830 3.8 
 31.367871  103.462340    15.327   2008  5 14 11 25 28.660 4.2 
 32.356699  105.038982    15.152   2008  5 14 11 30 39.110 3.2 
 31.116176  103.709863    20.586   2008  5 14 11 33 39.780 3.0 
 32.071298  104.606062    15.232   2008  5 14 12 55 41.590 3.1 
 32.551275  105.278187    16.470   2008  5 14 13  9 58.010 3.1 
 31.005849  103.320678    13.716   2008  5 14 13 13 34.150 2.3 
 32.095380  104.581245    14.071   2008  5 14 13 19 45.630 3.3 
 31.233162  103.667372    17.497   2008  5 14 13 20  9.430 3.3 
 32.196730  104.563907     9.185   2008  5 14 13 24 30.920 3.0 
 31.217139  103.634564    20.911   2008  5 14 13 25  9.060 2.7 
 32.511125  105.252443    18.483   2008  5 14 13 27 20.450 4.1 
 32.359569  105.083148    15.922   2008  5 14 13 29 44.920 4.8 
 30.986420  103.348540    11.366   2008  5 14 13 33 42.240 3.2 
 31.229552  103.602076    18.327   2008  5 14 13 35 12.000 3.9 
 31.114867  103.355050    18.176   2008  5 14 13 38 33.790 2.9 
 32.313233  105.021397    12.076   2008  5 14 13 41 14.450 2.5 
 31.134076  103.341840    15.024   2008  5 14 13 42 44.050 2.7 
 32.180620  104.896019    12.093   2008  5 14 16  0  4.310 2.6 
 31.292081  103.444872    14.113   2008  5 14 16  3 13.020 3.2 
 31.860721  104.268720    11.853   2008  5 14 16 10 20.740 2.3 
 32.091415  104.589087    12.093   2008  5 14 16 11 57.730 3.9 
 32.316807  104.997336    17.482   2008  5 14 16 13 59.330 3.1 
 31.867399  104.358434    23.293   2008  5 14 16 14 38.630 3.2 
 32.146052  104.599195    14.275   2008  5 14 16 28 27.360 3.4 
 31.522606  104.178155    11.497   2008  5 14 16 32  5.110 2.4 
 31.232268  103.510798    20.842   2008  5 14 16 37 18.220 3.8 
 30.950376  103.397385    13.687   2008  5 14 16 45 24.210 2.8 
 32.267479  105.132786    11.489   2008  5 14 16 45 41.720 3.3 
 31.324104  103.456495    13.255   2008  5 14 16 48 42.840 3.5 
 31.279161  103.589276    16.065   2008  5 14 16 50 12.730 2.4 
 31.192326  103.638795    22.009   2008  5 14 16 53 23.900 2.6 
 31.765506  104.326384    12.457   2008  5 14 16 56 11.450 3.2 
 31.441520  103.775999    15.819   2008  5 14 16 58 34.360 2.6 
 31.161172  103.400522    21.180   2008  5 14 19  5 58.580 2.6 
 32.064467  104.526467    18.202   2008  5 14 19  8 13.140 3.4 
 31.229212  103.459280    14.596   2008  5 14 19 11  1.420 3.3 
 31.266833  103.807122    14.002   2008  5 14 19 12 38.480 3.2 
 31.386186  103.914731    16.551   2008  5 14 19 17  4.010 3.0 
 32.244573  104.987749    12.696   2008  5 14 19 19 27.370 4.2 
 31.974359  104.458969     9.034   2008  5 14 19 21 40.470 3.1 
 31.402190  103.915215    29.087   2008  5 14 19 24 21.870 2.7 
 31.002547  103.348678    14.040   2008  5 14 19 29 54.090 2.6 
 32.243283  104.957443     7.697   2008  5 14 19 35 35.280 3.6 
 31.300645  103.717022    16.491   2008  5 14 19 38 12.780 2.6 
 31.026734  103.424580     7.292   2008  5 14 19 39 44.820 2.4 
 30.892535  103.256887    11.937   2008  5 14 19 41 49.910 3.2 
 31.844662  104.303616     6.788   2008  5 14 19 45  1.120 2.3 
 31.052752  103.327617    11.639   2008  5 14 19 47  8.540 2.4 
 30.939784  103.230704    20.334   2008  5 14 19 48 15.070 3.3 
 32.098838  104.613930    20.599   2008  5 14 19 49 38.590 3.7 
 31.250630  103.504139    15.178   2008  5 14 19 51 44.780 3.2 
 31.031842  103.530682    18.910   2008  5 14 19 59  3.880 4.4 
 31.722938  104.183694    17.995   2008  5 14 21  1  9.470 5.1 
 31.714195  104.167739    17.664   2008  5 14 21  1  9.410 5.3 
 31.209365  103.625697    19.469   2008  5 14 22 10 11.930 5.0 
 32.239727  104.913744    17.135   2008  5 14 22 28 38.330 3.0 
 31.268464  103.573707    14.737   2008  5 14 22 33  4.040 3.3 
 31.307873  103.818283    17.366   2008  5 14 22 39 52.630 3.6 
 31.303354  103.818830    17.976   2008  5 14 22 39 52.770 3.5 
 31.143986  103.467259    17.802   2008  5 14 22 50 32.800 3.0 
 32.156388  104.583542    16.273   2008  5 14 23 28 15.380 3.8 
 31.217585  103.852261    13.382   2008  5 14 23 38 13.980 2.5 
 31.060376  103.336714    11.392   2008  5 14 23 39  4.770 2.7 
 31.258128  103.350368    14.084   2008  5 14 23 43 18.320 3.2 
 31.282380  103.838347    16.663   2008  5 15  0  3 31.370 3.4 
 31.840086  104.374661    14.624   2008  5 15  0  9 31.210 4.5 
 31.835839  104.366878    13.031   2008  5 15  0  9 31.190 4.8 
 30.995342  103.189395    16.744   2008  5 15  0 10 19.980 4.2 
 31.206260  103.450171    14.901   2008  5 15  0 15 16.190 2.7 
 31.153187  103.546873    19.685   2008  5 15  0 23 59.310 3.1 
 31.329531  103.861695    14.942   2008  5 15  0 32 48.940 2.8 
 31.291856  103.560277    15.344   2008  5 15  0 33 37.710 3.1 
 31.247618  103.624711    17.820   2008  5 15  0 34 25.450 3.0 
 31.052865  103.383099    11.670   2008  5 15  0 39 43.820 4.0 
 31.342262  103.421857    14.737   2008  5 15  0 50 21.160 4.2 
 30.927773  103.302924    16.506   2008  5 15  1 17 17.800 3.5 
 31.749214  104.312082    18.953   2008  5 15  1 45 39.380 4.3 
 31.481364  104.044597    17.369   2008  5 15  2  0 26.320 3.7 
 31.191680  103.714311    22.689   2008  5 15  2  9 24.340 3.7 
 31.063673  103.307222    18.452   2008  5 15  2 19 34.600 3.8 
 31.154293  103.510235    16.464   2008  5 15  3 29 42.070 3.0 
 32.148766  104.775339     5.750   2008  5 15  3 58  6.150 3.1 
 31.749623  104.364058    12.876   2008  5 15  4  6 31.220 4.2 
 30.994325  103.327170    14.070   2008  5 15  4 18 45.570 2.6 
 31.287565  103.753205    17.401   2008  5 15  4 27 32.200 4.4 
 31.283649  103.756729    18.178   2008  5 15  4 27 32.220 4.5 
 31.017086  103.240782    18.857   2008  5 15  5  3  3.620 2.9 
