 year month day hour minute second magnitude latitude longitude depth 
 2008  5 19  5 12 22.200    3.9    32.599160  105.246200    17.1 
 2008  5 19  5 45  6.850    3.3    32.469930  105.068600    16.9 
 2008  5 19  6  4  7.950    3.1    30.950330  103.289000    17.0 
 2008  5 19  6 31 39.860    2.7    31.046850  103.347300    13.9 
 2008  5 19  6 46 24.450    3.0    31.238600  103.471600    12.8 
 2008  5 19  6 50  1.450    3.9    30.745350  103.223100    15.0 
 2008  5 19  6 56 28.860    3.2    31.418470  103.757000    16.5 
 2008  5 19  7  3  5.280    3.0    31.476480  103.980900    15.1 
 2008  5 19  7  6 18.130    4.0    31.626910  103.983200    19.5 
 2008  5 19  7  8 29.640    3.0    32.421820  105.082400    14.7 
 2008  5 19  7 13 47.080    3.0    31.545940  104.054200    12.2 
 2008  5 19  7 27 39.520    3.0    31.456290  103.841300    16.1 
 2008  5 19  7 30 44.220    3.1    31.312270  103.387400     6.7 
 2008  5 19  7 46 21.140    3.0    31.280480  103.550500    14.9 
 2008  5 19  7 53 16.240    3.0    31.031260  103.321400    14.6 
 2008  5 19  8 20 30.730    3.8    31.183650  103.562800    14.0 
 2008  5 19  8 48  8.530    3.0    31.055300  103.362800    10.3 
 2008  5 19  8 54 54.510    3.3    32.399850  105.144200    14.7 
 2008  5 19  9 24  7.050    3.1    32.550940  105.301800     9.7 
 2008  5 19  9 26  3.080    4.0    31.336420  103.655300    20.3 
 2008  5 19 10  0 59.220    3.5    32.567350  105.239200    16.7 
 2008  5 19 10  3 41.650    3.1    30.930660  103.386000    20.2 
 2008  5 19 10 16 56.470    3.1    30.951980  103.320900    13.5 
 2008  5 19 10 17 17.530    3.5    31.183460  103.672900    13.3 
 2008  5 19 10 21 19.050    2.8    31.740800  104.119400    19.5 
 2008  5 19 10 22 28.320    3.0    31.061080  103.297400    11.2 
 2008  5 19 10 32 13.550    3.0    32.324740  104.912800    13.8 
 2008  5 19 11 13 32.480    3.6    30.964650  103.346600    15.4 
 2008  5 19 11 16 57.000    3.4    31.808400  104.236700    13.3 
 2008  5 19 11 18  5.310     .0    32.547730  105.232000     9.6 
 2008  5 19 11 21 33.760    3.6    31.197870  103.318800    20.3 
 2008  5 19 11 49  4.840    2.9    31.058200  103.503500    11.1 
 2008  5 19 11 51 34.720    3.0    31.205090  103.463500    10.4 
 2008  5 19 11 59 28.160    4.1    32.289670  104.937000    16.3 
 2008  5 19 12  6  5.510    3.6    31.183670  103.514800    12.7 
 2008  5 19 12 20 16.250    3.0    32.326230  104.937200    14.8 
 2008  5 19 12 30 43.960    2.8    31.730750  104.155400    11.0 
 2008  5 19 12 37 21.160    3.8    31.253270  103.513300    12.4 
 2008  5 19 12 42 16.020    3.6    31.272470  103.510100    10.1 
 2008  5 19 12 48 39.160    3.4    31.828910  104.406200    10.8 
 2008  5 19 12 49 36.810    3.3    32.461290  105.133100    13.7 
 2008  5 19 13  5 34.480    2.9    32.439750  105.170000    15.7 
 2008  5 19 13  7  7.120    3.1    31.390530  103.750800    14.3 
 2008  5 19 13 12 43.020    3.7    32.277200  104.686400    13.6 
 2008  5 19 13 24 12.210     .0    31.802640  104.230300    11.9 
 2008  5 19 13 29 20.520    3.6    31.069970  103.397500    15.0 
 2008  5 19 13 35  5.190    3.0    31.847650  104.250500    14.7 
 2008  5 19 13 37 16.890    2.8    31.541340  103.934600    14.1 
 2008  5 19 13 56   .940    3.5    31.033690  103.401700     5.4 
 2008  5 19 14  0 53.220    3.0    31.298660  103.770200    12.1 
 2008  5 19 14  6 53.280    5.9    32.552340  105.267900    14.8 
 2008  5 19 14 11 11.490     .0    31.370020  103.708200    16.5 
 2008  5 19 14 14 38.340    3.2    31.372450  103.708200    16.6 
 2008  5 19 14 15  2.530    3.4    32.557010  105.276100    11.3 
 2008  5 19 14 25 50.020    4.2    32.540920  105.256400    10.9 
 2008  5 19 14 29 24.330    3.0    31.453430  103.900000    15.2 
 2008  5 19 15 11 53.790    3.5    30.780130  103.350700    14.7 
 2008  5 19 15 16  1.350    2.9    32.457080  105.123800    16.5 
 2008  5 19 15 26 10.350    2.9    30.780730  103.343900    14.4 
 2008  5 19 15 27 20.030    3.0    32.291880  104.943800    13.2 
 2008  5 19 15 29 44.720     .0    31.540720  104.029100    14.0 
 2008  5 19 15 33  7.270    3.1    30.983300  103.358500     9.0 
 2008  5 19 15 53 57.030    2.9    32.259650  104.933300    13.9 
 2008  5 19 15 59 32.650    3.9    31.413750  103.893600    17.2 
 2008  5 19 16 35 50.560    3.8    31.323170  103.647400    17.3 
 2008  5 19 16 39 56.220    4.1    32.003510  104.494800    14.7 
 2008  5 19 16 42 31.520    3.3    31.125760  103.569200    11.4 
 2008  5 19 16 57 55.340    3.0    32.583940  105.263700    18.3 
 2008  5 19 17 52 14.710     .0    31.849100  104.301800    12.7 
 2008  5 19 17 54 37.400    3.5    31.642760  104.094100     8.0 
 2008  5 19 18  6  4.140    2.9    32.444360  105.056900    16.7 
 2008  5 19 18  9 36.590    2.8    31.529800  104.035000    12.0 
 2008  5 19 18 35 41.910    3.4    31.164290  103.441400    10.7 
 2008  5 19 18 49 10.730    3.0    32.694470  105.445700     9.7 
 2008  5 19 19 22 38.980    3.2    31.054770  103.471900    15.8 
 2008  5 19 19 27   .410    3.3    32.382280  104.786800    16.3 
 2008  5 19 19 32 48.630    3.6    31.237550  103.591300    11.5 
 2008  5 19 19 37 26.930    3.4    32.397890  105.019400    16.5 
 2008  5 19 20  8 31.500    3.0    31.675900  104.084500    13.4 
 2008  5 19 20 11 37.570     .0    31.567850  103.964300    12.7 
 2008  5 19 20 31 27.680    2.7    32.220330  104.570400    15.9 
 2008  5 19 21  9 12.490    3.0    32.321200  104.922500    16.4 
 2008  5 19 21 26 15.270    3.2    31.928900  104.340400    14.3 
 2008  5 19 21 29  3.190    3.5    31.848100  104.298000    11.1 
